index,product,category,brand,brand_id,price
177,Natural Ice Cream - Sugarless Roasted Almond,"Bakery, Cakes & Dairy",NIC,NIC,325
178,Natural Ice Cream - Madagascar,"Bakery, Cakes & Dairy",NIC,NIC,425
179,Natural Ice Cream - Yummy Chocochip,"Bakery, Cakes & Dairy",NIC,NIC,350
180,Ginger Oat Cookies,"Bakery, Cakes & Dairy",Nour,Nour,225
181,Millet Rusk - Moringa Leaf,"Bakery, Cakes & Dairy",Nutri,Nutri,105
182,Whole Wheat Rusk - Chilli Garlic,"Bakery, Cakes & Dairy",Nutri,Nutri,95
183,Flavoured Milk - Thandai,"Bakery, Cakes & Dairy",Pape,Pape,50
184,Flavoured Milk - Thandai,"Bakery, Cakes & Dairy",Pape,Pape,120
185,Chocolate Milkshake,"Bakery, Cakes & Dairy",Pape,Pape,30
186,Southern Masala Buttermilk,"Bakery, Cakes & Dairy",Pape,Pape,30
187,Jeera Buttermilk,"Bakery, Cakes & Dairy",Pape,Pape,30
188,Strawberry Milkshake - Enriched With Vitamin D,"Bakery, Cakes & Dairy",Pape,Pape,120
189,Coriander Buttermilk,"Bakery, Cakes & Dairy",Pape,Pape,30
190,Happy Happy Egg Cake - Vanilla,"Bakery, Cakes & Dairy",Parl,Parl,10
191,Rusk - Real Elaichi,"Bakery, Cakes & Dairy",Parl,Parl,32
192,Millet Cookies - Vanilla Choco Elite,"Bakery, Cakes & Dairy",Praa,Praa,39
193,"Almond Milk Cacao - Lactose Free, Dairy Free & Vegan","Bakery, Cakes & Dairy",Raw P,Raw P,600
194,"Cocoa Almond Milk - Lactose Free, Dairy Free & Vegan","Bakery, Cakes & Dairy",Raw P,Raw P,100
195,Milk Power Frappe Milkshake - French Vanilla,"Bakery, Cakes & Dairy",Real,Real,120
196,Milk Power Frappe Milkshake - Strawberry,"Bakery, Cakes & Dairy",Real,Real,120
197,Dairy Whipping Cream,"Bakery, Cakes & Dairy",RRO D,RRO D,250
198,Cheese Spread - Garlic & Herb,"Bakery, Cakes & Dairy",RRO D,RRO D,355
199,Cheese Spread - Honey & Cinnamon,"Bakery, Cakes & Dairy",RRO D,RRO D,375
200,Almond Milk - Chocolate,"Bakery, Cakes & Dairy",So G,So G,210
201,Soy Milk Protein+ Original,"Bakery, Cakes & Dairy",So G,So G,290
202,Almond Milk - Chocolate,"Bakery, Cakes & Dairy",So G,So G,210
203,Soy Milk - Unsweetened,"Bakery, Cakes & Dairy",So G,So G,260
204,Soya Milk - Vanilla,"Bakery, Cakes & Dairy",Soyf,Soyf,105
205,Almond Milk - Chocolate,"Bakery, Cakes & Dairy",Soyf,Soyf,190
206,Soya Milk - Chocolate,"Bakery, Cakes & Dairy",Soyf,Soyf,290
207,Almond Milk - Chocolate,"Bakery, Cakes & Dairy",Soyf,Soyf,190
208,Soya Milk - Kesar Pista,"Bakery, Cakes & Dairy",Soyf,Soyf,105
209,Paneer - Regular,"Bakery, Cakes & Dairy",Soyf,Soyf,80
210,Kesar Milk Shake,"Bakery, Cakes & Dairy",Stor,Stor,105
211,Coffee Milk Shake,"Bakery, Cakes & Dairy",Stor,Stor,105
212,Badam Shake,"Bakery, Cakes & Dairy",Stor,Stor,175
213,Rose Milk Shake,"Bakery, Cakes & Dairy",Stor,Stor,35
